"","tripduration","starttime","stoptime","start.station.id","start.station.name","start.station.latitude","start.station.longitude","end.station.id","end.station.name","end.station.latitude","end.station.longitude","bikeid","usertype","postal.code","distance_km","started_hour","time_block","day_of_week","weekend_or_weekday"
"43",576,2022-01-01 00:20:40.122,2022-01-01 00:30:16.594,66,"Commonwealth Ave at Griggs St",42.349224693383,-71.1327530257859,19,"Park Dr at Buswell St",42.347241,-71.105301,7338,"Subscriber","02134",2.26930976032761,0,"Night","Saturday","Weekend"
"44",1721,2022-01-01 00:21:35.326,2022-01-01 00:50:16.513,356,"Charlestown Navy Yard",42.3741245494265,-71.0548119993837,544,"Old Morse Park at Putnam Ave",42.3576624788988,-71.1084133386612,6901,"Subscriber","10587",4.77436435282867,0,"Night","Saturday","Weekend"
"45",1693,2022-01-01 00:21:59.075,2022-01-01 00:50:12.197,356,"Charlestown Navy Yard",42.3741245494265,-71.0548119993837,544,"Old Morse Park at Putnam Ave",42.3576624788988,-71.1084133386612,5917,"Subscriber","02129",4.77436435282867,0,"Night","Saturday","Weekend"
"46",446,2022-01-01 00:23:06.705,2022-01-01 00:30:32.997,58,"Mugar Way at Beacon St",42.3555362848971,-71.0728687047958,60,"Charles Circle - Charles St at Cambridge St",42.3607929685827,-71.0711896233715,3904,"Customer","NULL",0.601250898376609,0,"Night","Saturday","Weekend"
"47",1070,2022-01-01 00:24:03.947,2022-01-01 00:41:54.053,116,"359 Broadway - Broadway at Fayette Street",42.370803,-71.104412,68,"Central Square at Mass Ave / Essex St",42.36507,-71.1031,6864,"Subscriber","10930",0.647252963262464,0,"Night","Saturday","Weekend"
"48",1316,2022-01-01 00:24:27.23,2022-01-01 00:46:23.473,58,"Mugar Way at Beacon St",42.3555362848971,-71.0728687047958,98,"Warren St at Chelsea St",42.371848,-71.060292,3270,"Subscriber","02129",2.08980353268513,0,"Night","Saturday","Weekend"
"49",1255,2022-01-01 00:24:59.452,2022-01-01 00:45:55.198,55,"Boylston St at Massachusetts Ave",42.3474062052521,-71.0867841495565,378,"191 Beacon St",42.3803233504542,-71.1087861285523,4054,"Customer","NULL",4.08684010030192,0,"Night","Saturday","Weekend"
"50",864,2022-01-01 00:25:08.317,2022-01-01 00:39:33.226,398,"75 Binney St",42.3655072850565,-71.0801375997653,184,"Sidney Research Campus/Erie Street at Waverly",42.357753094652,-71.1039340496063,4026,"Subscriber","02139",2.13925222073321,0,"Night","Saturday","Weekend"
"51",301,2022-01-01 00:25:13.625,2022-01-01 00:30:15.533,58,"Mugar Way at Beacon St",42.3555362848971,-71.0728687047958,60,"Charles Circle - Charles St at Cambridge St",42.3607929685827,-71.0711896233715,7529,"Customer","NULL",0.601250898376609,0,"Night","Saturday","Weekend"
"52",338,2022-01-01 00:25:16.567,2022-01-01 00:30:55.043,58,"Mugar Way at Beacon St",42.3555362848971,-71.0728687047958,60,"Charles Circle - Charles St at Cambridge St",42.3607929685827,-71.0711896233715,4944,"Subscriber","02140",0.601250898376609,0,"Night","Saturday","Weekend"
"53",886,2022-01-01 00:25:26.347,2022-01-01 00:40:13.334,398,"75 Binney St",42.3655072850565,-71.0801375997653,184,"Sidney Research Campus/Erie Street at Waverly",42.357753094652,-71.1039340496063,3187,"Customer","02139",2.13925222073321,0,"Night","Saturday","Weekend"
"54",341,2022-01-01 00:26:26.965,2022-01-01 00:32:08.432,178,"MIT Pacific St at Purrington St",42.3595732010904,-71.1012947559357,178,"MIT Pacific St at Purrington St",42.3595732010904,-71.1012947559357,5827,"Subscriber","02139",0,0,"Night","Saturday","Weekend"
"55",1317,2022-01-01 00:26:36.204,2022-01-01 00:48:34.096,42,"Boylston St at Arlington St",42.3525484277538,-71.0676740736744,63,"Dorchester Ave at Gillette Park",42.3440405100163,-71.0573762655258,3514,"Subscriber","02127",1.27073988247227,0,"Night","Saturday","Weekend"
"56",913,2022-01-01 00:27:20.428,2022-01-01 00:42:34.146,42,"Boylston St at Arlington St",42.3525484277538,-71.0676740736744,345,"Park Plaza at Charles St S.",42.3518280689207,-71.0678113811173,7291,"Customer","02135",0.080981662219451,0,"Night","Saturday","Weekend"
"57",509,2022-01-01 00:27:40.984,2022-01-01 00:36:10.757,68,"Central Square at Mass Ave / Essex St",42.36507,-71.1031,107,"Ames St at Main St",42.3625,-71.08822,2463,"Subscriber","02139",1.25690079570461,0,"Night","Saturday","Weekend"
"58",2268,2022-01-01 00:27:45.941,2022-01-01 01:05:34.636,352,"Ring Rd",42.3482783854263,-71.080448553148,352,"Ring Rd",42.3482783854263,-71.080448553148,4266,"Subscriber","02151",0,0,"Night","Saturday","Weekend"
"59",162,2022-01-01 00:27:47.284,2022-01-01 00:30:30.248,342,"Boylston St at Jersey St",42.3446506288783,-71.0973250122697,33,"Kenmore Square",42.348706,-71.097009,2852,"Subscriber","02215",0.452189922520283,0,"Night","Saturday","Weekend"
"60",935,2022-01-01 00:27:53.046,2022-01-01 00:43:28.235,330,"30 Dane St",42.3810014303805,-71.1040252261319,380,"Mass Ave at Albany St",42.3613583766225,-71.0967027397783,5554,"Subscriber","02139",2.26806633471687,0,"Night","Saturday","Weekend"
"61",536,2022-01-01 00:28:41.603,2022-01-01 00:37:37.696,426,"Surface Rd at Summer St",42.3529456978258,-71.0565640080313,39,"Washington St at Rutland St",42.338514601786,-71.0740408301353,6751,"Subscriber","02118",2.15599632430908,0,"Night","Saturday","Weekend"
"62",1016,2022-01-01 00:28:51.843,2022-01-01 00:45:47.987,58,"Mugar Way at Beacon St",42.3555362848971,-71.0728687047958,380,"Mass Ave at Albany St",42.3613583766225,-71.0967027397783,2805,"Subscriber","02139",2.06490916391136,0,"Night","Saturday","Weekend"
"63",2209,2022-01-01 00:29:15.682,2022-01-01 01:06:05.413,67,"MIT at Mass Ave / Amherst St",42.3581,-71.093198,67,"MIT at Mass Ave / Amherst St",42.3581,-71.093198,5301,"Subscriber","02139",0,0,"Night","Saturday","Weekend"
"64",497,2022-01-01 00:29:21.206,2022-01-01 00:37:39.187,121,"W Broadway at Dorchester St",42.3359589794331,-71.0462289956104,121,"W Broadway at Dorchester St",42.3359589794331,-71.0462289956104,3931,"Subscriber","02127",0,0,"Night","Saturday","Weekend"
"65",615,2022-01-01 00:29:25.929,2022-01-01 00:39:41.456,81,"Chinatown T Stop",42.352409,-71.062679,481,"645 Summer St",42.3417808913719,-71.0398701650411,6624,"Subscriber","02127",2.21839385810809,0,"Night","Saturday","Weekend"
"66",439,2022-01-01 00:29:56.863,2022-01-01 00:37:16.367,81,"Chinatown T Stop",42.352409,-71.062679,363,"Harrison Ave at Mullins Way",42.3452156211502,-71.0638403149278,5605,"Subscriber","03049",0.806442994675256,0,"Night","Saturday","Weekend"
"67",868,2022-01-01 00:30:05.57,2022-01-01 00:44:34.345,39,"Washington St at Rutland St",42.338514601786,-71.0740408301353,60,"Charles Circle - Charles St at Cambridge St",42.3607929685827,-71.0711896233715,7417,"Subscriber","02139",2.4910850294917,0,"Night","Saturday","Weekend"
"68",279,2022-01-01 00:30:08.34,2022-01-01 00:34:47.902,68,"Central Square at Mass Ave / Essex St",42.36507,-71.1031,225,"Cambridge Dept. of Public Works -147 Hampshire St.",42.3711972775941,-71.0975986719131,2994,"Subscriber","02143",0.81851305769043,0,"Night","Saturday","Weekend"
"69",812,2022-01-01 00:30:19.529,2022-01-01 00:43:51.701,225,"Cambridge Dept. of Public Works -147 Hampshire St.",42.3711972775941,-71.0975986719131,6,"Cambridge St at Joy St",42.3612572164654,-71.0652874410152,4254,"Subscriber","02139",2.87871506908456,0,"Night","Saturday","Weekend"
"70",1228,2022-01-01 00:31:13.1,2022-01-01 00:51:41.457,234,"Broadway at Central St",42.3951715012157,-71.098505919822,177,"University Park",42.362647791186,-71.1000609397888,6531,"Subscriber","02145",3.6227802883548,0,"Night","Saturday","Weekend"
"71",626,2022-01-01 00:32:46.743,2022-01-01 00:43:13.41,91,"One Kendall Square at Hampshire St / Portland St",42.366277,-71.09169,495,"Union Square East",42.380078,-71.090098,4040,"Customer","01742",1.54188894341411,0,"Night","Saturday","Weekend"
"72",224,2022-01-01 00:33:27.319,2022-01-01 00:37:11.437,76,"Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St",42.366426,-71.105495,116,"359 Broadway - Broadway at Fayette Street",42.370803,-71.104412,6113,"Subscriber","02138",0.49532000261736,0,"Night","Saturday","Weekend"
"73",3043,2022-01-01 00:33:52.619,2022-01-01 01:24:35.77,161,"W Broadway at D St",42.3391085,-71.0514432,152,"Ink Block - Harrison Ave at Herald St",42.345901,-71.063187,7461,"Subscriber","02446",1.22696183792526,0,"Night","Saturday","Weekend"
